code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,
MAT0010,,,041402,3,Hormigón HM-20/P/40/X0. fabricado en central.,,,,0.660,,,m3,69.54,
MAT0011,,,041402,3,Bolos de piedra de 15 a 30 cm de diámetro.,,,,0.400,,,m3,19.92,
O01OA080,,,041402,4,Oficial 1ª ,,,0.11,0.110,,,h,22.27,
O01OA070,,,041402,4,Peón ordinario,,,1,0.990,,,h,21.15,
,,,041402,7,Hormigón ciclópeo. realizado con hormigón HM-20/P/40/X0 fabricado en central y vertido desde camión (60% de volumen) y bolos de piedra de 15 a 30 cm de diámetro (40% de volumen). para formación de cimentación.,,,,,,,,,
030101,03,0301,,2,Demolición de muro de ladrillo hueco de fábrica.,,,,1.000,5.33,8,m2,,
O01OA071,,,030101,4,Peón especializado,,,1,1.500,,,h,20.43,
O01OA070,,,030101,4,Peón ordinario,,,1,1.500,,,h,21.15,
,,,030101,7,Demolición de muro de fábrica de ladrillo cerámico hueco. con medios manuales. y carga manual sobre camión o contenedor.,,,,,,,,,
030102,03,0301,,2,Demolición de muro de ladrillo macizo de fábrica.,,,,1.000,2.50,8,m2,,
O01OA071,,,030102,4,Peón especializado,,,1,3.200,,,h,20.43,
O01OA070,,,030102,4,Peón ordinario,,,1,3.200,,,h,21.15,
,,,030102,7,Demolición de muro de fábrica de ladrillo cerámico macizo. con medios manuales. y carga manual sobre camión o contenedor.,,,,,,,,,
030103,03,0301,,2,Demolición de muro de bloque de hormigón  hueco de fábrica.,,,,1.000,4.32,8,m2,,
O01OA071,,,030103,4,Peón especializado,,,1,1.850,,,h,20.43,
O01OA070,,,030103,4,Peón ordinario,,,1,1.850,,,h,21.15,
,,,030103,7,Demolición de muro de fábrica de bloque de hormigón hueco. con medios manuales. y carga manual sobre camión o contenedor.,,,,,,,,,
030104,03,0301,,2,Demolición de muro de bloque de hormigón  hueco de fábrica mecanizado,,,,1.000,7.27,8,m2,,
O01OA071,,,030104,4,Peón especializado,,,1,1.100,,,h,20.43,
O01OA070,,,030104,4,Peón ordinario,,,1,1.100,,,h,21.15,
MAQ0002,,,030104,5,Martillo neumático.,,,0.59,0.650,,,h,4.57,
MAQ0003,,,030104,5,Compresor portátil diésel media presión 10 m3/min.,,,0.30,0.325,,,h,7.75,
,,,030104,7,Demolición de muro de fábrica de bloque de hormigón hueco. con martillo neumático. y carga manual sobre camión o contenedor.,,,,,,,,,
030105,03,0301,,2,Demolición de muro de bloque de hormigón  macizado de fábrica mecanizado,,,,1.000,2.35,8,m2,,
O01OA071,,,030105,4,Peón especializado,,,1,3.400,,,h,20.43,
O01OA070,,,030105,4,Peón ordinario,,,1,3.400,,,h,21.15,
MAQ0002,,,030105,5,Martillo neumático.,,,0.59,2.000,,,h,4.57,
MAQ0003,,,030105,5,Compresor portátil diésel media presión 10 m3/min.,,,0.29,1.000,,,h,7.75,
,,,030105,7,Demolición de muro de fábrica de bloque de hormigón macizado y armado. con martillo neumático. y carga manual sobre camión o contenedor.,,,,,,,,,
060101,06,0601,,2,Demolición de entramado de madera.,,,,1.000,16.00,8,m2,,
MAQ0005,,,060101,5,Motosierra a gasolina. de 50 cm de espada y 2 kW de potencia.,,,0.60,0.300,,,h,3.36,
O01OA080,,,060101,4,Oficial 1ª ,,,0.60,0.300,,,h,22.27,
O01OA071,,,060101,4,Peón especializado,,,0.60,0.300,,,h,20.43,
O01OA070,,,060101,4,Peón ordinario,,,1,0.500,,,h,21.15,
,,,060101,7,Demolición de entramado de madera. con medios manuales y motosierra. y carga manual sobre camión o contenedor.,,,,,,,,,
060102,06,0601,,2,Demolición de correa de madera.,,,,1.000,40.00,8,m,,
MAQ0005,,,060102,5,Motosierra a gasolina. de 50 cm de espada y 2 kW de potencia.,,,0.60,0.120,,,h,3.36,
O01OA080,,,060102,4,Oficial 1ª ,,,0.60,0.120,,,h,22.27,
O01OA071,,,060102,4,Peón especializado,,,0.60,0.120,,,h,20.43,
O01OA070,,,060102,4,Peón ordinario,,,1,0.200,,,h,21.15,
,,,060102,7,Demolición de correa de madera. con medios manuales y motosierra. y carga manual sobre camión o contenedor.,,,,,,,,,
060103,06,0601,,2,Demolición de cercha de madera.,,,,1.000,8.00,8,ud,,
MAQ0005,,,060103,5,Motosierra a gasolina. de 50 cm de espada y 2 kW de potencia.,,,0.60,0.600,,,h,3.36,
O01OA080,,,060103,4,Oficial 1ª ,,,0.60,0.600,,,h,22.27,
O01OA071,,,060103,4,Peón especializado,,,0.60,0.600,,,h,20.43,
O01OA070,,,060103,4,Peón ordinario,,,1,1.000,,,h,21.15,
