code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,
016107,01,0161,,2,Transporte con camión de residuos inertes metálicos producidos en obras de construcción y/o demolición,,,,1.000,16.46,8,m3,,
MAQ0006,,,016107,5,Camión de transporte de 10 t con una capacidad de 8 m3 y 2 ejes.,,,1,0.486,,,h,59.60,
%Medios auxiliares,,,016107,6,Medios auxiliares ,,,,,,,%,2.00,
,,,016107,7,Transporte con camión de residuos inertes metálicos producidos en obras de construcción y/o demolición. a vertedero específico. instalación de tratamiento de residuos de construcción y demolición externa a la obra o centro de valorización o eliminación de residuos. situado a 10 km de distancia. El precio incluye el tiempo de espera en obra durante las operaciones de carga. el viaje de ida. la descarga y el viaje de vuelta. pero no incluye la carga en obra.,,,,,,,,,
016108,01,0161,,2,Transporte con camión de mezcla sin clasificar de residuos inertes producidos en obras de construcción y/o demolición,,,,1.000,95.24,8,m3,,
MAQ0006,,,016108,5,Camión de transporte de 10 t con una capacidad de 8 m3 y 2 ejes.,,,1,0.084,,,h,59.60,
%Medios auxiliares,,,016108,6,Medios auxiliares ,,,,,,,%,2.00,
,,,016108,7,Transporte con camión de mezcla sin clasificar de residuos inertes producidos en obras de construcción y/o demolición. a vertedero específico. instalación de tratamiento de residuos de construcción y demolición externa a la obra o centro de valorización o eliminación de residuos. situado a 10 km de distancia. El precio incluye el tiempo de espera en obra durante las operaciones de carga. el viaje de ida. la descarga y el viaje de vuelta. pero no incluye la carga en obra.,,,,,,,,,
040501,04,0405,,2,Demolición de forjado de hormigón armado. con medios manuales. Hasta 20 cm,,,,1.000,6.75,8,m2,,
MAQ0002,,,040501,5,Martillo neumático.,,,0.99,1.178,,,h,4.57,
MAQ0003,,,040501,5,Compresor portátil diésel media presión 10 m3/min.,,,0.27,0.325,,,h,7.75,
MAQ0007,,,040501,5,Equipo de oxicorte. con acetileno como combustible y oxígeno como comburente.,,,0.30,0.360,,,h,8.41,
O01OA080,,,040501,4,Oficial 1ª ,,,0.30,0.355,,,h,22.27,
O01OA071,,,040501,4,Peón especializado,,,1,1.185,,,h,22.43,
O01OA070,,,040501,4,Peón ordinario,,,0.75,0.888,,,h,21.15,
,,,040501,7,Demolición de losa maciza de hormigón armado de hasta 20 cm de canto total. con medios manuales. martillo neumático y equipo de oxicorte. previo levantado del pavimento y su base. y carga manual sobre camión o contenedor. El precio no incluye el levantado del pavimento.,,,,,,,,,
040502,04,0405,,2,Demolición de pilar de hormigón armado,,,,1.000,1.01,8,m3,,
MAQ0002,,,040502,5,Martillo neumático.,,,0.99,7.852,,,h,4.57,
MAQ0003,,,040502,5,Compresor portátil diésel media presión 10 m3/min.,,,0.50,3.926,,,h,7.75,
MAQ0007,,,040502,5,Equipo de oxicorte. con acetileno como combustible y oxígeno como comburente.,,,0.25,2.000,,,h,8.41,
O01OA080,,,040502,4,Oficial 1ª ,,,0.25,1.974,,,h,22.27,
O01OA071,,,040502,4,Peón especializado,,,1,7.897,,,h,22.43,
O01OA070,,,040502,4,Peón ordinario,,,0.83,6.581,,,h,21.15,
,,,040502,7,Demolición de pilar de hormigón armado. con medios manuales. martillo neumático y equipo de oxicorte. y carga manual sobre camión o contenedor.,,,,,,,,,
040503,04,0405,,2,"Demolición de zuncho. nervio ""in situ"" o viga de hormigón armado.",,,,1.000,1.01,8,m3,,
MAQ0002,,,040503,5,Martillo neumático.,,,0.99,7.852,,,h,4.57,
MAQ0003,,,040503,5,Compresor portátil diésel media presión 10 m3/min.,,,0.50,3.926,,,h,7.75,
MAQ0007,,,040503,5,Equipo de oxicorte. con acetileno como combustible y oxígeno como comburente.,,,0.25,2.000,,,h,8.41,
O01OA080,,,040503,4,Oficial 1ª ,,,0.25,1.974,,,h,22.27,
O01OA071,,,040503,4,Peón especializado,,,1,7.897,,,h,22.43,
O01OA070,,,040503,4,Peón ordinario,,,0.83,6.581,,,h,21.15,
,,,040503,7,Demolición de viga de hormigón armado. con medios manuales. martillo neumático y equipo de oxicorte. y carga manual sobre camión o contenedor.,,,,,,,,,
040504,04,0405,,2,Demolición de losa de escalera de hormigón.,,,,1.000,7.60,8,m2,,
MAQ0002,,,040504,5,Martillo neumático.,,,0.99,1.047,,,h,4.57,
MAQ0003,,,040504,5,Compresor portátil diésel media presión 10 m3/min.,,,0.50,0.523,,,h,7.75,
MAQ0007,,,040504,5,Equipo de oxicorte. con acetileno como combustible y oxígeno como comburente.,,,0.25,0.267,,,h,8.41,
O01OA080,,,040504,4,Oficial 1ª ,,,0.25,0.263,,,h,22.27,
O01OA071,,,040504,4,Peón especializado,,,1,1.053,,,h,22.43,
O01OA070,,,040504,4,Peón ordinario,,,1.00,1.053,,,h,21.15,
,,,040504,7,Demolición de losa de escalera de hormigón armado. hasta 25 cm de espesor. y peldaños. con medios manuales. martillo neumático y equipo de oxicorte. y carga manual sobre camión o contenedor,,,,,,,,,
040505,04,0405,,2,Demolición de entrevigado.,,,,1.000,20.25,8,m2,,
MAQ0002,,,040505,5,Martillo neumático.,,,0.99,0.393,,,h,4.57,
MAQ0003,,,040505,5,Compresor portátil diésel media presión 10 m3/min.,,,0.50,0.196,,,h,7.75,
O01OA071,,,040505,4,Peón especializado,,,1,0.395,,,h,22.43,
O01OA070,,,040505,4,Peón ordinario,,,0.33,0.132,,,h,21.15,
,,,040505,7,Demolición de entrevigado de forjado unidireccional. con medios manuales y martillo neumático. previo levantado del pavimento y su base. y carga manual sobre camión o contenedor. El precio no incluye el levantado del pavimento.,,,,,,,,,
040506,04,0405,,2,Demolición de capa de compresión de hormigón en forjados.,,,,1.000,40.61,8,m2,,
MAQ0002,,,040506,5,Martillo neumático.,,,0.99,0.196,,,h,4.57,
MAQ0003,,,040506,5,Compresor portátil diésel media presión 10 m3/min.,,,0.50,0.098,,,h,7.75,
O01OA071,,,040506,4,Peón especializado,,,1,0.197,,,h,22.43,
O01OA070,,,040506,4,Peón ordinario,,,0.50,0.099,,,h,21.15,
,,,040506,7,Demolición de capa de compresión de hormigón. de 4 cm de espesor. en forjados. con medios manuales y martillo neumático. previo levantado del pavimento y su base. y carga manual sobre camión o contenedor. El precio no incluye el levantado del pavimento.,,,,,,,,,
042101,04,0421,,2,Pilar rectangular o cuadrado de hormigón armado. Con sistema de encofrado y vertido con bomba,,,,1.000,1.08,8,m3,,
MAT0023,,,042101,3,Separador homologado de plástico. para armaduras de pilares de varios diámetros.,,,,12.000,,,Ud,0.08,
MAT0002,,,042101,3,Ferralla elaborada en taller industrial con acero en barras corrugadas. UNE-EN 10080 B 500 S. de varios diámetros.,,,,120.000,,,kg,1.60,
MAT0003,,,042101,3,Alambre galvanizado para atar. de 1.30 mm de diámetro.,,,,0.600,,,kg,1.50,
MAT0025,,,042101,3,Chapa metálica de 50x50 cm. para encofrado de pilares de hormigón armado de sección rectangular o cuadrada. de hasta 3 m de altura. incluso accesorios de montaje.,,,,0.320,,,m2,49.21,
MAT0026,,,042101,3,Puntal metálico telescópico. de hasta 3 m de altura.,,,,0.099,,,Ud,19.90,
MAT0027,,,042101,3,Berenjeno de PVC. de varias dimensiones y 2500 mm de longitud.,,,,17.800,,,Ud,0.56,
MAT0008,,,042101,3,Agente desmoldeante. a base de aceites especiales. emulsionable en agua. para encofrados metálicos. fenólicos o de madera.,,,,0.400,,,l,1.80,
MAT0024,,,042101,3,Hormigón HA-25/F/20/XC2. fabricado en central.,,,,1.050,,,m3,89.92,
MAQ0116,,,042101,5,Camión bomba estacionado en obra. para bombeo de hormigón.,,,0.03,0.205,,,h,193.45,
O01OA090,,,042101,4,Oficial 1ª encofrador.,,,0.88,6.480,,,h,22.27,
O01OA091,,,042101,4,Ayudante encofrador.,,,1,7.405,,,h,21.15,
O01OA100,,,042101,4,Oficial 1ª ferrallista.,,,0.12,0.915,,,h,20.94,
O01OA101,,,042101,4,Ayudante ferrallista.,,,0.12,0.915,,,h,20.03,
O01OA110,,,042101,4,Oficial 1ª estructurista. en trabajos de puesta en obra del hormigón.,,,0.02,0.136,,,h,20.94,
O01OA111,,,042101,4,Ayudante estructurista. en trabajos de puesta en obra del hormigón.,,,0.07,0.545,,,h,20.03,
,,,042101,7,"Pilar de sección rectangular o cuadrada de hormigón armado. de 30x30 cm de sección media. realizado con hormigón HA-25/F/20/XC2 fabricado en central. y vertido con bomba. y acero UNE-EN 10080 B 500 S. con una cuantía aproximada de 120 kg/m3, montaje y desmontaje de sistema de encofrado. con acabado tipo industrial para revestir. en planta de hasta 3 m de altura libre. formado por: superficie encofrante de chapas metálicas. amortizables en 50 usos y estructura soporte vertical de puntales metálicos. amortizables en 150 usos. Incluso berenjenos. alambre de atar. separadores y líquido desencofrante para evitar la adherencia del hormigón al encofrado. El precio incluye la elaboración de la ferralla (corte. doblado y conformado de elementos) en taller industrial y el montaje en el lugar definitivo de su colocación en obra.",,,,,,,,,
042102,04,0421,,2,Pilar circular de hormigón armado. Con sistema de encofrado y vertido con bomba,,,,1.000,2.75,8,m3,,
MAT0023,,,042102,3,Separador homologado de plástico. para armaduras de pilares de varios diámetros.,,,,12.000,,,Ud,0.08,
MAT0002,,,042102,3,Ferralla elaborada en taller industrial con acero en barras corrugadas. UNE-EN 10080 B 500 S. de varios diámetros.,,,,120.000,,,kg,1.60,
MAT0003,,,042102,3,Alambre galvanizado para atar. de 1.30 mm de diámetro.,,,,0.600,,,kg,1.50,
MAT0028,,,042102,3,Molde cilíndrico reutilizable de lamas metálicas. para encofrado de pilares de hormigón. de hasta 3 m de altura. para acabado no visto del hormigón. Incluso accesorios de montaje.,,,,0.133,,,m2,49.21,
MAT0026,,,042102,3,Puntal metálico telescópico. de hasta 3 m de altura.,,,,0.099,,,Ud,19.90,
MAT0008,,,042102,3,Agente desmoldeante. a base de aceites especiales. emulsionable en agua. para encofrados metálicos. fenólicos o de madera.,,,,0.400,,,l,1.80,
MAT0024,,,042102,3,Hormigón HA-25/F/20/XC2. fabricado en central.,,,,1.050,,,m3,89.92,
MAQ0116,,,042102,5,Camión bomba estacionado en obra. para bombeo de hormigón.,,,0.07,0.205,,,h,193.45,
O01OA090,,,042102,4,Oficial 1ª encofrador.,,,1.00,2.904,,,h,22.27,
O01OA091,,,042102,4,Ayudante encofrador.,,,1.00,2.904,,,h,21.15,
O01OA100,,,042102,4,Oficial 1ª ferrallista.,,,0.32,0.915,,,h,20.94,
O01OA101,,,042102,4,Ayudante ferrallista.,,,0.32,0.915,,,h,20.03,
O01OA110,,,042102,4,Oficial 1ª estructurista. en trabajos de puesta en obra del hormigón.,,,0.05,0.136,,,h,20.94,
O01OA111,,,042102,4,Ayudante estructurista. en trabajos de puesta en obra del hormigón.,,,0.19,0.545,,,h,20.03,
,,,042102,7,"Pilar de sección circular de hormigón armado. de 30 cm de diámetro medio. realizado con hormigón HA-25/F/20/XC2 fabricado en central. y vertido con bomba. y acero UNE-EN 10080 B 500 S. con una cuantía aproximada de 120 kg/m3, montaje y desmontaje de sistema de encofrado. con acabado tipo industrial para revestir. en planta de hasta 3 m de altura libre. formado por: superficie encofrante de moldes cilíndricos de lamas metálicas. amortizables en 100 usos y estructura soporte vertical de puntales metálicos. amortizables en 150 usos. Incluso alambre de atar. separadores y líquido desencofrante para evitar la adherencia del hormigón al encofrado. El precio incluye la elaboración de la ferralla (corte. doblado y conformado de elementos) en taller industrial y el montaje en el lugar definitivo de su colocación en obra.",,,,,,,,,
311301,31,3113,,2,Sistema de encofrado reutilizable para pilar rectangular o cuadrado.,,,,1.000,14.41,8,m3,,
MAT0025,,,311301,3,Chapa metálica de 50x50 cm. para encofrado de pilares de hormigón armado de sección rectangular o cuadrada. de hasta 3 m de altura. incluso accesorios de montaje.,,,,0.024,,,m2,49.21,
MAT0026,,,311301,3,Puntal metálico telescópico. de hasta 3 m de altura.,,,,0.007,,,Ud,19.90,
MAT0027,,,311301,3,Berenjeno de PVC. de varias dimensiones y 2500 mm de longitud.,,,,1.338,,,Ud,0.56,
MAT0008,,,311301,3,Agente desmoldeante. a base de aceites especiales. emulsionable en agua. para encofrados metálicos. fenólicos o de madera.,,,,0.030,,,l,1.80,
O01OA090,,,311301,4,Oficial 1ª encofrador.,,,0.88,0.486,,,h,22.27,
O01OA091,,,311301,4,Ayudante encofrador.,,,1,0.555,,,h,21.15,
,,,311301,7,Montaje y desmontaje de sistema de encofrado reutilizable para formación de pilar rectangular o cuadrado de hormigón armado. con acabado tipo industrial para revestir en planta de hasta 3 m de altura libre. formado por: superficie encofrante de chapas metálicas. amortizables en 50 usos y estructura soporte vertical de puntales metálicos. amortizables en 150 usos. Incluso berenjenos y líquido desencofrante para evitar la adherencia del hormigón al encofrado.,,,,,,,,,
311302,31,3113,,2,Sistema de encofrado para pilar circular.,,,,1.000,36.70,8,m3,,
MAT0028,,,042102,3,Molde cilíndrico reutilizable de lamas metálicas. para encofrado de pilares de hormigón. de hasta 3 m de altura. para acabado no visto del hormigón. Incluso accesorios de montaje.,,,,0.010,,,m2,49.21,
MAT0026,,,042102,3,Puntal metálico telescópico. de hasta 3 m de altura.,,,,0.007,,,Ud,19.90,
MAT0008,,,042102,3,Agente desmoldeante. a base de aceites especiales. emulsionable en agua. para encofrados metálicos. fenólicos o de madera.,,,,0.030,,,l,1.80,
O01OA090,,,042102,4,Oficial 1ª encofrador.,,,1.00,0.218,,,h,22.27,
O01OA091,,,042102,4,Ayudante encofrador.,,,1.00,0.218,,,h,21.15,
,,,042102,7,Montaje y desmontaje de sistema de encofrado reutilizable. para formación de pilar circular de hormigón armado de 35 cm de diámetro medio. con acabado tipo industrial para revestir en planta de hasta 3 m de altura libre. formado por: superficie encofrante de moldes cilíndricos de lamas metálicas. amortizables en 100 usos y estructura soporte vertical de puntales metálicos. amortizables en 150 usos. Incluso líquido desencofrante. para evitar la adherencia del hormigón al encofrado.,,,,,,,,,
042401,04,0424,,2,Zuncho de hormigón armado.,,,,1.000,2.46,8,m3,,
MAT0029,,,042401,3,Sistema de encofrado recuperable para la ejecución de zunchos de hormigón armado. compuesto de: puntales metálicos telescópicos. sopandas metálicas y superficie encofrante de madera tratada reforzada con varillas y perfiles.,,,,6.500,,,m2,49.72,
MAT0030,,,042401,3,Separador homologado para vigas.,,,,20.000,,,Ud,0.10,
MAT0002,,,042401,3,Ferralla elaborada en taller industrial con acero en barras corrugadas. UNE-EN 10080 B 500 S. de varios diámetros.,,,,105.000,,,kg,1.60,
MAT0003,,,042401,3,Alambre galvanizado para atar. de 1.30 mm de diámetro.,,,,0.945,,,kg,1.50,
MAT0024,,,042401,3,Hormigón HA-25/F/20/XC2. fabricado en central.,,,,1.050,,,m3,89.92,
O01OA090,,,042401,4,Oficial 1ª encofrador.,,,1.00,3.252,,,h,22.27,
O01OA091,,,042401,4,Ayudante encofrador.,,,1.00,3.252,,,h,21.15,
O01OA100,,,042401,4,Oficial 1ª ferrallista.,,,0.37,1.201,,,h,20.94,
O01OA101,,,042401,4,Ayudante ferrallista.,,,0.37,1.201,,,h,20.03,
O01OA110,,,042401,4,Oficial 1ª estructurista. en trabajos de puesta en obra del hormigón.,,,0.14,0.463,,,h,20.94,
O01OA111,,,042401,4,Ayudante estructurista. en trabajos de puesta en obra del hormigón.,,,0.57,1.865,,,h,20.03,
,,,042401,7,"Zuncho de apoyo de forjado de hormigón armado. realizado con hormigón HA-25/F/20/XC2 fabricado en central. y vertido con cubilote. y acero UNE-EN 10080 B 500 S. con una cuantía aproximada de 105 kg/m³, montaje y desmontaje del sistema de encofrado continuo con puntales. sopandas metálicas y superficie encofrante de madera tratada reforzada con varillas y perfiles. Incluso alambre de atar y separadores. El precio incluye la elaboración de la ferralla (corte. doblado y conformado de elementos) en taller industrial y el montaje en el lugar definitivo de su colocación en obra.",,,,,,,,,
042402,04,0424,,2,Viga de hormigón armado.,,,,1.000,#¡REF!,8,m3,,
MAT0030,,,042402,3,Separador homologado para vigas.,,,,4.000,,,Ud,0.10,
MAT0002,,,042402,3,Ferralla elaborada en taller industrial con acero en barras corrugadas. UNE-EN 10080 B 500 S. de varios diámetros.,,,,150.000,,,kg,1.60,
MAT0003,,,042402,3,Alambre galvanizado para atar. de 1.30 mm de diámetro.,,,,1.350,,,kg,1.50,
MAT0024,,,042402,3,Hormigón HA-25/F/20/XC2. fabricado en central.,,,,1.050,,,m3,89.92,
O01OA100,,,042402,4,Oficial 1ª ferrallista.,,,0.88,1.200,,,h,20.94,
O01OA101,,,042402,4,Ayudante ferrallista.,,,0.88,1.200,,,h,20.03,
O01OA110,,,042402,4,Oficial 1ª estructurista. en trabajos de puesta en obra del hormigón.,,,0.25,0.340,,,h,20.94,
O01OA111,,,042402,4,Ayudante estructurista. en trabajos de puesta en obra del hormigón.,,,1.00,1.370,,,h,20.03,
,,,042402,7,Viga. de hormigón armado. de 25x50 cm. realizada con hormigón HA-25/F/20/XC2 fabricado en central. y vertido con cubilote. y acero UNE-EN 10080 B 500 S. con una cuantía aproximada de 150 kg/m³. Incluso alambre de atar. y separadores. El precio incluye la elaboración de la ferralla (corte. doblado y conformado de elementos) en taller industrial y el montaje en el lugar definitivo de su colocación en obra.,,,,,,,,,
311501,31,3115,,2,,,,,1.000,16.00,8,m3,,
MAT0007,,,311501,3,Puntas de acero de 20x100 mm.,,,,0.040,,,kg,8.75,
MAT0026,,,311501,3,Puntal metálico telescópico. de hasta 3 m de altura.,,,,0.027,,,Ud,19.90,
MAT0008,,,311501,3,Agente desmoldeante. a base de aceites especiales. emulsionable en agua. para encofrados metálicos. fenólicos o de madera.,,,,0.030,,,l,1.80,
MAT0031,,,311501,,Tablero de madera tratada. de 22 mm de espesor. reforzado con varillas y perfiles.,,,,0.046,,,m2,45.50,
MAT0032,,,311501,,Estructura soporte para encofrado recuperable. compuesta de: sopandas metálicas y accesorios de montaje.,,,,0.008,,,m2,102.00,
MAT0033,,,311501,,Madera de pino.,,,,0.003,,,m3,355.50,
O01OA090,,,311501,4,Oficial 1ª encofrador.,,,1.00,0.500,,,h,22.27,
O01OA091,,,311501,4,Ayudante encofrador.,,,1.00,0.500,,,h,21.15,
,,,311501,7,"Montaje y desmontaje de sistema de encofrado para formación de viga descolgada. recta. de hormigón armado. con acabado tipo industrial para revestir en planta de hasta 3 m de altura libre. formado por: superficie encofrante de tableros de madera tratada. reforzados con varillas y perfiles. amortizables en 25 usos, estructura soporte horizontal de sopandas metálicas y accesorios de montaje. amortizables en 150 usos y estructura soporte vertical de puntales metálicos. amortizables en 150 usos. Incluso líquido desencofrante. para evitar la adherencia del hormigón al encofrado.",,,,,,,,,
043201,04,0432,,2,Losa maciza. Con encofrado,,,,1.000,12.12,8,m2,,
MAT0031,,,043201,,Tablero de madera tratada. de 22 mm de espesor. reforzado con varillas y perfiles.,,,,0.044,,,m2,45.50,
MAT0032,,,043201,,Estructura soporte para encofrado recuperable. compuesta de: sopandas metálicas y accesorios de montaje.,,,,0.007,,,m2,102.00,
MAT0026,,,043201,3,Puntal metálico telescópico. de hasta 3 m de altura.,,,,0.027,,,Ud,19.90,
MAT0033,,,043201,,Madera de pino.,,,,0.003,,,m3,355.50,
MAT0007,,,043201,3,Puntas de acero de 20x100 mm.,,,,0.040,,,kg,8.75,
MAT0008,,,043201,3,Agente desmoldeante. a base de aceites especiales. emulsionable en agua. para encofrados metálicos. fenólicos o de madera.,,,,0.030,,,l,1.80,
MAT0034,,,043201,,Separador homologado para losas macizas.,,,,3.000,,,Ud,0.10,
MAT0002,,,043201,3,Ferralla elaborada en taller industrial con acero en barras corrugadas. UNE-EN 10080 B 500 S. de varios diámetros.,,,,21.000,,,kg,1.60,
MAT0003,,,043201,3,Alambre galvanizado para atar. de 1.30 mm de diámetro.,,,,0.252,,,kg,1.50,
MAT0024,,,043201,3,Hormigón HA-25/F/20/XC2. fabricado en central.,,,,0.126,,,m3,89.92,
MAT0035,,,043201,,Agente filmógeno. para el curado de hormigones y morteros.,,,,0.150,,,l,1.60,
O01OA090,,,043201,4,Oficial 1ª encofrador.,,,1.00,0.660,,,h,22.27,
O01OA091,,,043201,4,Ayudante encofrador.,,,1.00,0.660,,,h,21.15,
O01OA100,,,043201,4,Oficial 1ª ferrallista.,,,0.50,0.333,,,h,20.94,
O01OA101,,,043201,4,Ayudante ferrallista.,,,0.42,0.277,,,h,20.03,
O01OA110,,,043201,4,Oficial 1ª estructurista. en trabajos de puesta en obra del hormigón.,,,0.05,0.035,,,h,20.94,
O01OA111,,,043201,4,Ayudante estructurista. en trabajos de puesta en obra del hormigón.,,,0.22,0.143,,,h,20.03,
,,,043201,7,"Losa maciza de hormigón armado. horizontal. con altura libre de planta de hasta 3 m. canto 12 cm. realizada con hormigón HA-25/F/20/XC2 fabricado en central. y vertido con cubilote. y acero UNE-EN 10080 B 500 S. con una cuantía aproximada de 21 kg/m², montaje y desmontaje de sistema de encofrado continuo. con acabado tipo industrial para revestir. formado por: superficie encofrante de tableros de madera tratada. reforzados con varillas y perfiles. amortizables en 25 usos, estructura soporte horizontal de sopandas metálicas y accesorios de montaje. amortizables en 150 usos y estructura soporte vertical de puntales metálicos. amortizables en 150 usos. Incluso nervios y zunchos perimetrales de planta y huecos. alambre de atar. separadores. aplicación de líquido desencofrante y agente filmógeno. para el curado de hormigones y morteros. El precio incluye la elaboración de la ferralla (corte. doblado y conformado de elementos) en taller industrial y el montaje en el lugar definitivo de su colocación en obra. pero no incluye los pilares.",,,,,,,,,
051801,05,0518,,2,,,,,1.000,38.65,8,m2,,
MAT0036,,,051801,,Placa alveolar prefabricada de hormigón pretensado de 20 cm de canto y 120 cm de anchura. con junta lateral abierta superiormente. momento flector último de 17 kN·m por m de ancho. Según UNE-EN 1168.,,,,1.000,,,m2,59.42,
MAT0037,,,051801,,Acero laminado UNE-EN 10025 S275JR. en pieza para apoyo de placa prefabricada de hormigón en hueco de forjado. compuesta por perfiles laminados en caliente de las series L. LD. T y pletina. trabajado en taller. acabado galvanizado en caliente.,,,,1.000,,,kg,4.09,
MAT0002,,,051801,3,Ferralla elaborada en taller industrial con acero en barras corrugadas. UNE-EN 10080 B 500 S. de varios diámetros.,,,,4.000,,,kg,1.60,
MAT0003,,,051801,3,Alambre galvanizado para atar. de 1.30 mm de diámetro.,,,,0.048,,,kg,1.50,
MAT0024,,,051801,3,Hormigón HA-25/F/20/XC2. fabricado en central.,,,,0.011,,,m3,89.92,
MAQ0117,,,051801,5,Grúa autopropulsada de brazo telescópico con una capacidad de elevación de 30 t y 27 m de altura máxima de trabajo.,,,0.88,0.182,,,h,76.66,
O01OA112,,,051801,4,Oficial 1ª montador de estructura prefabricada de hormigón.,,,1.00,0.207,,,h,20.94,
O01OA113,,,051801,4,Ayudante montador de estructura prefabricada de hormigón.,,,1.00,0.207,,,h,20.03,
O01OA100,,,051801,4,Oficial 1ª ferrallista.,,,0.30,0.062,,,h,20.94,
O01OA101,,,051801,4,Ayudante ferrallista.,,,0.25,0.052,,,h,20.03,
O01OA110,,,051801,4,Oficial 1ª estructurista. en trabajos de puesta en obra del hormigón.,,,0.01,0.003,,,h,20.94,
O01OA111,,,051801,4,Ayudante estructurista. en trabajos de puesta en obra del hormigón.,,,0.06,0.012,,,h,20.03,
,,,051801,7,"Losa de 20 cm de canto. realizada con placas alveolares prefabricadas de hormigón pretensado. de 20 cm de canto y 120 cm de anchura. con momento flector último de 17 kN·m/m. con altura libre de planta de hasta 3 m. apoyada directamente sobre vigas de canto o muros de carga, relleno de juntas entre placas alveolares y zonas de enlace con apoyos. realizados con hormigón HA-25/F/20/XC2 fabricado en central. y vertido con cubilote. y acero B 500 S en zona de negativos. con una cuantía aproximada de 4 kg/m². Incluso piezas de acero UNE-EN 10025 S275JR tipo Omega. en posición invertida. laminado en caliente. con recubrimiento galvanizado. 1 kg/m². para el apoyo de las placas en los huecos del forjado y alambre de atar. El precio incluye la elaboración de la ferralla (corte. doblado y conformado de elementos) en taller industrial y el montaje en el lugar definitivo de su colocación en obra. pero no incluye los apoyos ni los pilares.",,,,,,,,,
